Org.;C.Gestor;Pro.;Eco.;Descripción;Créditos Iniciales;Modificaciones de Crédito;Créditos Totales consignados;Saldo de Créditos Retenidos pdtes de utilización;Saldo de Créditos Retenidos para Trans.;Saldo de Acuerd. Créd. para No Disponibil.;Saldo de Gastos Autorizados;Saldo de Gastos Compromet.;Saldo de Obligaciones Reconocidas;Saldo de Pagos Ordenados;Pagos Realizados;Total gastado;Saldo de Créditos disponibles;Saldo de Créditos disp. a nivel de Vinculación;% de Realizacion del Presupuesto;Facturas consumen disp. Pend. Contabilizar;Saldo de Crédito Disponible Real;Gasto Pendiente Aplicar a Presupuesto;Gastado en Fase Definitiva;Capítulo
00;CO-SC - COMUNICACIÓN (2019);49111;20400;Arrendam.material transporte-Servicio Radio y TV Municipal;17.000,00;0,00;17.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17.000,00;37.800,78;0,00%;0,00;17.000,00;0,00;0,00;2
00;CO-SC - COMUNICACIÓN (2019);49111;20600;Arrendam. de equip para procesos de infor-Serv Radio y TV;1.000,00;80,05;1.080,05;80,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;80,05;1.000,00;37.800,78;0,00%;0,00;1.000,00;80,05;160,10;2
00;CO-SC - COMUNICACIÓN (2019);49111;20900;Cánones-Servicio Radio y TV Municipal;5.000,00;0,00;5.000,00;334,32;0,00;0,00;0,00;3.332,00;0,00;0,00;4.509,89;8.176,21;-3.176,21;37.800,78;90,20%;0,00;-3.176,21;1.062,90;9.239,11;2
00;CO-SC - COMUNICACIÓN (2019);49111;21200;Repar.,manten.y conserv.edific.y otras const.-Servicio Radio;1.000,00;0,00;1.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.000,00;37.800,78;0,00%;0,00;1.000,00;0,00;0,00;2
00;CO-SC - COMUNICACIÓN (2019);49111;21206;Rep.mant.y conserv.ascensores, elev.y montac-Serv.Radio y TV;3.000,00;0,00;3.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.000,00;37.800,78;0,00%;0,00;3.000,00;0,00;0,00;2
00;CO-SC - COMUNICACIÓN (2019);49111;21207;Rep.,manten. y conserv.de extintores-ServRadio y TV Mpal;30,00;0,00;30,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;30,00;37.800,78;0,00%;0,00;30,00;0,00;0,00;2
00;CO-SC - COMUNICACIÓN (2019);49111;21208;Mantenimiento alarmas--Servicio Radio y TV Municipal;1.500,00;0,00;1.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.500,00;37.800,78;0,00%;0,00;1.500,00;0,00;0,00;2
00;CO-SC - COMUNICACIÓN (2019);49111;21300;Rep.,mant.y conserv.maquinaria, instal. y utillaje--Servicio;500,00;0,00;500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;500,00;37.800,78;0,00%;235,00;265,00;0,00;0,00;2
00;CO-SC - COMUNICACIÓN (2019);49111;21400;Repar., manten.conserv. elementos de transporte-Serv.Radio y;0,00;0,00;0,00;24,20;0,00;0,00;0,00;0,00;0,00;0,00;36,30;60,50;-60,50;37.800,78; ;0,00;-60,50;46,09;106,59;2
00;CO-SC - COMUNICACIÓN (2019);49111;21600;Rep.,manten.y conserv. equipos proc.inform.-Servicio Radio y;300,00;397,28;697,28;397,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;397,28;300,00;37.800,78;0,00%;0,00;300,00;397,28;794,56;2
00;CO-SC - COMUNICACIÓN (2019);49111;22002;Material informático no inventariable-Serv Radio y TV mpal;640,00;0,00;640,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;510,13;510,13;129,87;37.800,78;79,71%;0,00;129,87;0,00;510,13;2
00;CO-SC - COMUNICACIÓN (2019);49111;22003;Ordinario no inventariable para almacen-Serv. de Radio y TV;640,00;0,00;640,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;640,00;37.800,78;0,00%;0,00;640,00;0,00;0,00;2
00;CO-SC - COMUNICACIÓN (2019);49111;22103;Combustibles y carburantes-Servicio Radio y TV Municipal;640,00;1.180,06;1.820,06;1.180,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.180,06;640,00;37.800,78;0,00%;0,00;640,00;1.180,06;2.360,12;2
00;CO-SC - COMUNICACIÓN (2019);49111;22110;Productos de limpieza y aseo- Serv. radio y TV mpal.;0,00;0,00;0,00;242,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;242,29;-242,29;37.800,78; ;0,00;-242,29;0,00;242,29;2
00;CO-SC - COMUNICACIÓN (2019);49111;22199;Otros suministros-Servicio Radio y TV Municipal;1.040,00;0,00;1.040,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;746,63;746,63;293,37;37.800,78;71,79%;0,00;293,37;63,96;810,59;2
00;CO-SC - COMUNICACIÓN (2019);49111;22201;Postales-Servicio Radio y TV Municipal;85,00;0,00;85,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;85,00;37.800,78;0,00%;0,00;85,00;0,00;0,00;2
00;CO-SC - COMUNICACIÓN (2019);49111;22300;Transportes de mercancías-Servicio Radio y TV Municipal;340,00;0,00;340,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,13;18,13;321,87;37.800,78;5,33%;0,00;321,87;0,00;18,13;2
00;CO-SC - COMUNICACIÓN (2019);49111;22400;Primas de seguro-Servicio Radio y TV Municipal;7.000,00;0,00;7.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.000,00;37.800,78;0,00%;0,00;7.000,00;0,00;0,00;2
00;CO-SC - COMUNICACIÓN (2019);49111;22500;Tributos estatales-Servicio Radio y TV Municipal;900,00;0,00;900,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;890,41;890,41;9,59;37.800,78;98,93%;0,00;9,59;0,00;890,41;2
00;CO-SC - COMUNICACIÓN (2019);49111;22603;Publicación en Diarios Oficiales- Servicio Radio y TV mpal;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;37.800,78; ;0,00;0,00;0,00;0,00;2
00;CO-SC - COMUNICACIÓN (2019);49111;22699;Otros gastos diversos-Servicio de Radio y TV Municipal;1.500,00;0,00;1.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.500,00;37.800,78;0,00%;0,00;1.500,00;0,00;0,00;2
00;CO-SC - COMUNICACIÓN (2019);49111;22700;Limpieza y aseo- Servicio de Radio y TV mpal.;0,00;78.380,22;78.380,22;78.380,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;78.380,22;0,00;37.800,78;0,00%;27.419,47;-27.419,47;78.380,22;156.760,44;2
00;CO-SC - COMUNICACIÓN (2019);49111;22701;Seguridad-Serv de Radio y TV municipal;3.100,00;0,00;3.100,00;0,00;0,00;0,00;0,00;2.145,09;0,00;0,00;0,00;2.145,09;954,91;37.800,78;0,00%;0,00;954,91;0,00;2.145,09;2
00;CO-SC - COMUNICACIÓN (2019);49111;22706;Estudios y trabajos técnicos-Servicio Radio y TV Municipal;15.000,00;0,00;15.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13.552,00;13.552,00;1.448,00;37.800,78;90,35%;0,00;1.448,00;0,00;13.552,00;2
00;CO-SC - COMUNICACIÓN (2019);49111;22799;Otros trabajos realizados por otras empr y prof- Serv Radio;8.000,00;0,00;8.000,00;0,00;0,00;0,00;0,00;2.420,00;290,40;0,00;1.130,40;3.840,80;4.159,20;37.800,78;17,76%;3.605,80;553,40;0,00;3.840,80;2
00;CO-SC - COMUNICACIÓN (2019);49111;23020;Dietas del personal no directivo- Serv. radio y TV mpal.;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;837,03;837,03;-837,03;37.800,78; ;32,80;-869,83;0,00;837,03;2
00;CO-SC - COMUNICACIÓN (2019);49111;23120;Locomoción del personal no directivo- Serv.Radio y TV mpal;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;195,00;195,00;-195,00;37.800,78; ;10,85;-205,85;0,00;195,00;2
00;CO-SC - COMUNICACIÓN (2019);49111;62300;Maquinaria, instalaciones y utillaje- Serv. radio y TV mpal.;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.660,44; ;0,00;0,00;0,00;0,00;6
00;CO-SC - COMUNICACIÓN (2019);49111;62900;Otras inv.nuevas asociadas funcion.operativo serv.-Serv.Radi;48.589,62;66.773,03;115.362,65;65.817,95;0,00;0,00;0,00;45.884,26;0,00;0,00;0,00;111.702,21;3.660,44;3.660,44;0,00%;0,00;3.660,44;0,00;111.702,21;6
00;SC-SC - SERVICIOS CENTRALES (2019;91210;10000;Retrib.basicas y otras remuner. Altos cargo-Órganos de Gobie;439.153,12;11.509,73;450.662,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;279.328,74;279.328,74;171.334,11;11.827.880,44;61,98%;0,00;171.334,11;0,00;279.328,74;1
00;SC-SC - SERVICIOS CENTRALES (2019;91210;10001;Otras remuneraciones-Órganos de Gobierno;13.500,00;0,00;13.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13.500,00;11.827.880,44;0,00%;0,00;13.500,00;0,00;0,00;1
00;SC-SC - SERVICIOS CENTRALES (2019;91210;12004;Sueldos del grupo c2 personal funcionario-Órganos de Gobiern;19.501,24;1.711,55;21.212,79;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18.131,87;18.131,87;3.080,92;11.827.880,44;85,48%;0,00;3.080,92;0,00;18.131,87;1
00;SC-SC - SERVICIOS CENTRALES (2019;91210;12006;Trienios personal funcionario-Órganos de Gobierno;4.823,28;169,71;4.992,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.221,64;4.221,64;771,35;11.827.880,44;84,55%;0,00;771,35;0,00;4.221,64;1
00;SC-SC - SERVICIOS CENTRALES (2019;91210;12100;Complemento destino personal funcionario-Órganos de Gobierno;9.665,52;343,76;10.009,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8.551,06;8.551,06;1.458,22;11.827.880,44;85,43%;0,00;1.458,22;0,00;8.551,06;1
00;SC-SC - SERVICIOS CENTRALES (2019;91210;12101;Complemento específico personal funcionario-Órganos de Gobie;27.848,80;2.381,90;30.230,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22.851,55;22.851,55;7.379,15;11.827.880,44;75,59%;0,00;7.379,15;0,00;22.851,55;1
00;SC-SC - SERVICIOS CENTRALES (2019;91210;12103;Otros complementos personal funcionario-Órganos de Gobierno;1.447,68;34,99;1.482,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;540,50;540,50;942,17;11.827.880,44;36,45%;0,00;942,17;0,00;540,50;1
00;SC-SC - SERVICIOS CENTRALES (2019;91210;13000;Retrib.basicas personal lab. Fijo-Órganos de Gobierno;21.888,34;1.218,76;23.107,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11.776,67;11.776,67;11.330,43;11.827.880,44;50,97%;0,00;11.330,43;0,00;11.776,67;1
00;SC-SC - SERVICIOS CENTRALES (2019;91210;13001;Órganos de gobierno. Horas extraordinarias;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.038,95;2.038,95;-2.038,95;11.827.880,44; ;0,00;-2.038,95;0,00;2.038,95;1
00;SC-SC - SERVICIOS CENTRALES (2019;91210;13002;Otras remuner. Personal lab. Fijo-Órganos de Gobierno;30.461,26;1.639,09;32.100,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17.735,52;17.735,52;14.364,83;11.827.880,44;55,25%;0,00;14.364,83;0,00;17.735,52;1
00;SC-SC - SERVICIOS CENTRALES (2019;91210;13101;Indefinidos no fijos en plantilla-Órganos de Gobierno;67.121,94;2.725,74;69.847,68;0,00;0,00;0,00;0,00;0,00;0,00;0,00;41.242,38;41.242,38;28.605,30;11.827.880,44;59,05%;0,00;28.605,30;0,00;41.242,38;1
00;SC-SC - SERVICIOS CENTRALES (2019;91210;15000;Productividad-Órganos de Gobierno;11.760,48;0,00;11.760,48;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.972,76;4.972,76;6.787,72;11.827.880,44;42,28%;0,00;6.787,72;0,00;4.972,76;1
00;SC-SC - SERVICIOS CENTRALES (2019;91210;15100;Gratificaciones-Órganos de Gobierno;18.616,44;489,60;19.106,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8.388,85;8.388,85;10.717,19;11.827.880,44;43,91%;0,00;10.717,19;0,00;8.388,85;1
00;SC-SC - SERVICIOS CENTRALES (2019;91210;16000;Seguridad Social-Organos de Gobierno;201.635,46;5.682,41;207.317,87;0,00;0,00;0,00;0,00;0,00;0,00;0,00;101.373,57;101.373,57;105.944,30;11.827.880,44;48,90%;0,00;105.944,30;0,00;101.373,57;1
00;SC-SC - SERVICIOS CENTRALES (2019;91210;16204;Acción social-Órganos de Gobierno;6.330,00;0,00;6.330,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.628,76;3.628,76;2.701,24;11.827.880,44;57,33%;0,00;2.701,24;0,00;3.628,76;1
00;SC-SC - SERVICIOS CENTRALES (2019;91210;20600;Arrendamientos de equipos para procesos de información;1.600,00;1.159,03;2.759,03;2.214,88;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.214,88;544,15;22.948,68;0,00%;0,00;544,15;1.159,03;3.373,91;2
00;SC-SC - SERVICIOS CENTRALES (2019;91210;21207;Mantenimiento extintores-Órganos de Gobierno;1.160,00;0,00;1.160,00;0,00;0,00;0,00;0,00;778,57;0,00;0,00;0,00;778,57;381,43;22.948,68;0,00%;0,00;381,43;0,00;778,57;2
00;SC-SC - SERVICIOS CENTRALES (2019;91210;21400;Repar., manten. y conserv.elementos transporte-Organos Gobie;300,00;0,00;300,00;800,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;800,00;-500,00;22.948,68;0,00%;0,00;-500,00;0,00;800,00;2
00;SC-SC - SERVICIOS CENTRALES (2019;91210;21600;Repar. mant.conserv. de equip. procesos informac.-Org.Gobier;0,00;823,29;823,29;1.376,77;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.376,77;-553,48;22.948,68;0,00%;0,00;-553,48;823,29;2.200,06;2
00;SC-SC - SERVICIOS CENTRALES (2019;91210;22000;Ordinario no inventariable - Organos de Gobierno;500,00;0,00;500,00;500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;500,00;0,00;22.948,68;0,00%;0,00;0,00;0,00;500,00;2
00;SC-SC - SERVICIOS CENTRALES (2019;91210;22003;Ordinario no inventariable para almacen-Órganos de Gobierno;1.380,00;0,00;1.380,00;0,00;0,00;0,00;0,00;1.364,14;0,00;0,00;0,00;1.364,14;15,86;22.948,68;0,00%;0,00;15,86;0,00;1.364,14;2
00;SC-SC - SERVICIOS CENTRALES (2019;91210;22103;Sum.combustibles y carburantes-Órganos de Gobierno;4.000,00;2.688,52;6.688,52;2.688,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.688,52;4.000,00;22.948,68;0,00%;0,00;4.000,00;2.688,52;5.377,04;2
00;SC-SC - SERVICIOS CENTRALES (2019;91210;22104;Vestuario- Organos de gobierno;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22.948,68; ;0,00;0,00;0,00;0,00;2
00;SC-SC - SERVICIOS CENTRALES (2019;91210;22199;Otros suministros-Órganos de Gobierno;400,00;0,00;400,00;400,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;400,00;0,00;22.948,68;0,00%;0,00;0,00;0,00;400,00;2
00;SC-SC - SERVICIOS CENTRALES (2019;91210;22201;Postales-Órganos de Gobierno;100,00;0,00;100,00;100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;22.948,68;0,00%;0,00;0,00;0,00;100,00;2
00;SC-SC - SERVICIOS CENTRALES (2019;91210;22300;Transportes mercancias-Órganos de Gobierno;100,00;0,00;100,00;100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;22.948,68;0,00%;0,00;0,00;0,00;100,00;2
00;SC-SC - SERVICIOS CENTRALES (2019;91210;22601;Atenciones protocolarias y representativas-Organos Gobierno;300,00;0,00;300,00;300,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;300,00;0,00;22.948,68;0,00%;0,00;0,00;0,00;300,00;2
00;SC-SC - SERVICIOS CENTRALES (2019;91210;23000;De los miembros de los órganos de gobierno-Organos de Gobier;1.000,00;0,00;1.000,00;1.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.000,00;0,00;22.948,68;0,00%;0,00;0,00;0,00;1.000,00;2
00;SC-SC - SERVICIOS CENTRALES (2019;91210;23100;Locomocion de miembros organos gobier-Órganos de Gobierno;1.900,00;0,00;1.900,00;1.900,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.900,00;0,00;22.948,68;0,00%;-205,00;205,00;0,00;1.900,00;2
00;SC-SC - SERVICIOS CENTRALES (2019;91210;46600;A otras entidades que agrupen municipios-Organos de Gobierno;45.200,00;0,00;45.200,00;0,00;0,00;0,00;0,00;0,00;28.798,30;0,00;0,00;28.798,30;16.401,70;16.401,70;63,71%;0,00;16.401,70;12.735,11;41.533,41;4
00;SC-SC - SERVICIOS CENTRALES (2019;91210;78900;Otras transferencias de capital-Organos Gobierno;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; ;0,00;0,00;0,00;0,00;7
00;SC-SC - SERVICIOS CENTRALES (2019;91213;11000;Retribuciones básicas personal eventual-Grupos Políticos;218.697,08;4.999,23;223.696,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;106.650,47;106.650,47;117.045,84;11.827.880,44;47,68%;0,00;117.045,84;0,00;106.650,47;1
00;SC-SC - SERVICIOS CENTRALES (2019;91213;16000;Seguridad social-Grupos Políticos;65.609,15;1.359,14;66.968,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;33.476,10;33.476,10;33.492,19;11.827.880,44;49,99%;0,00;33.492,19;0,00;33.476,10;1
00;SG-SC - SECRETARIA GENERAL (2019);92011;12000;Sueldos del grupo A1 personal funcionario-SecretarÍa General;67.240,38;-25.997,27;41.243,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;31.717,56;31.717,56;9.525,55;11.827.880,44;76,90%;0,00;9.525,55;0,00;31.717,56;1
00;SG-SC - SECRETARIA GENERAL (2019);92011;12001;Sueldos del grupo A2 personal funcionario-SecretarÍa General;15.161,62;853,73;16.015,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9.447,40;9.447,40;6.567,95;11.827.880,44;58,99%;0,00;6.567,95;0,00;9.447,40;1
00;SG-SC - SECRETARIA GENERAL (2019);92011;12003;Sueldos del grupo C1 personal funcionario-SecretarÍa General;11.406,22;371,82;11.778,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.154,23;7.154,23;4.623,81;11.827.880,44;60,74%;0,00;4.623,81;0,00;7.154,23;1
00;SG-SC - SECRETARIA GENERAL (2019);92011;12004;Sueldos del grupo C2 personal funcionario-SecretarÍa General;9.741,00;1.237,04;10.978,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10.546,83;10.546,83;431,21;11.827.880,44;96,07%;0,00;431,21;0,00;10.546,83;1
00;SG-SC - SECRETARIA GENERAL (2019);92011;12006;Trienios personal funcionario-SecretarÍa General;33.785,16;-10.015,95;23.769,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17.259,42;17.259,42;6.509,79;11.827.880,44;72,61%;0,00;6.509,79;0,00;17.259,42;1
00;SG-SC - SECRETARIA GENERAL (2019);92011;12100;Complemento destino personal funcionario-SecretarÍa General;59.395,32;631,74;60.027,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;33.136,92;33.136,92;26.890,14;11.827.880,44;55,20%;0,00;26.890,14;0,00;33.136,92;1
00;SG-SC - SECRETARIA GENERAL (2019);92011;12101;Complemen específico personal funcionario-SecretarÍa General;154.703,22;15.653,61;170.356,83;0,00;0,00;0,00;0,00;0,00;0,00;0,00;97.758,59;97.758,59;72.598,24;11.827.880,44;57,38%;0,00;72.598,24;0,00;97.758,59;1
00;SG-SC - SECRETARIA GENERAL (2019);92011;12103;Otros complementos-Secretaría General;20.708,04;0,00;20.708,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.533,08;3.533,08;17.174,96;11.827.880,44;17,06%;0,00;17.174,96;0,00;3.533,08;1
00;SG-SC - SECRETARIA GENERAL (2019);92011;13000;Retribuciones basicas pnal.laboral fijo-SecretarÍa General;27.336,36;1.362,46;28.698,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17.084,87;17.084,87;11.613,95;11.827.880,44;59,53%;0,00;11.613,95;0,00;17.084,87;1
00;SG-SC - SECRETARIA GENERAL (2019);92011;13001;Horas extraordinarias- Secretaría Gral.;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;646,29;646,29;-646,29;11.827.880,44; ;0,00;-646,29;0,00;646,29;1
00;SG-SC - SECRETARIA GENERAL (2019);92011;13002;Otras remun. Personal laboral fijo-SecretarÍa General;25.742,48;1.641,31;27.383,79;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16.255,54;16.255,54;11.128,25;11.827.880,44;59,36%;0,00;11.128,25;0,00;16.255,54;1
00;SG-SC - SECRETARIA GENERAL (2019);92011;13101;Indefinidos no fijos de plantilla-SecretarÍa General;61.058,98;3.926,90;64.985,88;0,00;0,00;0,00;0,00;0,00;0,00;0,00;36.739,18;36.739,18;28.246,70;11.827.880,44;56,53%;0,00;28.246,70;0,00;36.739,18;1
00;SG-SC - SECRETARIA GENERAL (2019);92011;15000;Productividad-SecretarÍa General;5.519,76;0,00;5.519,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.349,86;3.349,86;2.169,90;11.827.880,44;60,69%;0,00;2.169,90;0,00;3.349,86;1
00;SG-SC - SECRETARIA GENERAL (2019);92011;15100;Secretaría General. Gratificaciones;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18.718,69;18.718,69;-18.718,69;11.827.880,44; ;0,00;-18.718,69;0,00;18.718,69;1
00;SG-SC - SECRETARIA GENERAL (2019);92011;16000;Seguridad social-SecretarÍa General;151.955,17;-5.396,62;146.558,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;64.370,57;64.370,57;82.187,98;11.827.880,44;43,92%;0,00;82.187,98;0,00;64.370,57;1
00;SG-SC - SECRETARIA GENERAL (2019);92011;16204;Acción social-SecretarÍa General;14.718,72;-2.017,08;12.701,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.881,13;5.881,13;6.820,51;11.827.880,44;46,30%;0,00;6.820,51;0,00;5.881,13;1
00;SG-SC - SECRETARIA GENERAL (2019);92011;20600;Arrendamient equipos para proceso de informacion-Secret Gral;500,00;544,50;1.044,50;544,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;544,50;500,00;22.948,68;0,00%;0,00;500,00;544,50;1.089,00;2
00;SG-SC - SECRETARIA GENERAL (2019);92011;21600;Rep.,mant.y conserv.equip. Procesos inform.-SecretarÍa Gral;500,00;269,56;769,56;269,56;0,00;0,00;0,00;0,00;0,00;0,00;268,21;537,77;231,79;22.948,68;34,85%;0,00;231,79;269,56;807,33;2
